FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
2BLUES.MID,1,2,BLU_0001,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:1-2
2BLUES.MID,3,4,BLU_0002,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:3-4
2BLUES.MID,5,6,BLU_0003,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:5-6
2BLUES.MID,7,8,BLU_0004,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:7-8
2BLUES.MID,9,10,BLU_0005,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:9-10
2BLUES.MID,11,12,BLU_0006,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:11-12
2BLUES.MID,13,14,BLU_0007,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:13-14
2BLUES.MID,15,16,BLU_0008,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:15-16
2BLUES.MID,17,18,BLU_0009,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:17-18
2BLUES.MID,19,20,BLU_0010,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:19-20
2BLUES.MID,21,22,BLU_0011,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:21-22
2BLUES.MID,23,24,BLU_0012,4/4,LEGACY,YES,BLU,8T,NO,,2BLUES.MID:23-24
